,n,L,total_attempts,total_successes,total_collisions,collision_rate,success_rate,throughput,per_node
136,2,37,260,230,30,0.11538461538461539,0.8846153846153846,0.851,"[{'tx': 125, 'success': 110, 'collisions': 15}, {'tx': 135, 'success': 120, 'collisions': 15}]"
137,2,38,258,216,42,0.16279069767441862,0.8372093023255814,0.8208,"[{'tx': 134, 'success': 113, 'collisions': 21}, {'tx': 124, 'success': 103, 'collisions': 21}]"
138,2,39,248,218,30,0.12096774193548387,0.8790322580645161,0.8502,"[{'tx': 136, 'success': 121, 'collisions': 15}, {'tx': 112, 'success': 97, 'collisions': 15}]"
139,2,40,243,213,30,0.12345679012345678,0.8765432098765432,0.852,"[{'tx': 122, 'success': 107, 'collisions': 15}, {'tx': 121, 'success': 106, 'collisions': 15}]"
140,2,41,237,205,32,0.1350210970464135,0.8649789029535865,0.8405,"[{'tx': 112, 'success': 96, 'collisions': 16}, {'tx': 125, 'success': 109, 'collisions': 16}]"
141,2,42,228,206,22,0.09649122807017543,0.9035087719298246,0.8652,"[{'tx': 110, 'success': 99, 'collisions': 11}, {'tx': 118, 'success': 107, 'collisions': 11}]"
142,2,43,224,200,24,0.10714285714285714,0.8928571428571429,0.86,"[{'tx': 118, 'success': 106, 'collisions': 12}, {'tx': 106, 'success': 94, 'collisions': 12}]"
143,2,44,224,200,24,0.10714285714285714,0.8928571428571429,0.88,"[{'tx': 118, 'success': 106, 'collisions': 12}, {'tx': 106, 'success': 94, 'collisions': 12}]"
144,2,45,216,196,20,0.09259259259259259,0.9074074074074074,0.882,"[{'tx': 104, 'success': 94, 'collisions': 10}, {'tx': 112, 'success': 102, 'collisions': 10}]"
145,2,46,211,193,18,0.08530805687203792,0.9146919431279621,0.8878,"[{'tx': 110, 'success': 101, 'collisions': 9}, {'tx': 101, 'success': 92, 'collisions': 9}]"
146,2,47,207,185,22,0.10628019323671498,0.893719806763285,0.8695,"[{'tx': 110, 'success': 99, 'collisions': 11}, {'tx': 97, 'success': 86, 'collisions': 11}]"
147,2,48,205,177,28,0.13658536585365855,0.8634146341463415,0.8496,"[{'tx': 99, 'success': 85, 'collisions': 14}, {'tx': 106, 'success': 92, 'collisions': 14}]"
148,2,49,200,176,24,0.12,0.88,0.8624,"[{'tx': 96, 'success': 84, 'collisions': 12}, {'tx': 104, 'success': 92, 'collisions': 12}]"
149,2,50,200,166,34,0.17,0.83,0.83,"[{'tx': 97, 'success': 80, 'collisions': 17}, {'tx': 103, 'success': 86, 'collisions': 17}]"
150,2,51,189,179,10,0.05291005291005291,0.9470899470899471,0.9129,"[{'tx': 93, 'success': 88, 'collisions': 5}, {'tx': 96, 'success': 91, 'collisions': 5}]"
151,2,52,188,170,18,0.09574468085106383,0.9042553191489362,0.884,"[{'tx': 93, 'success': 84, 'collisions': 9}, {'tx': 95, 'success': 86, 'collisions': 9}]"
152,2,53,187,163,24,0.12834224598930483,0.8716577540106952,0.8639,"[{'tx': 100, 'success': 88, 'collisions': 12}, {'tx': 87, 'success': 75, 'collisions': 12}]"
153,2,54,182,164,18,0.0989010989010989,0.9010989010989011,0.8856,"[{'tx': 92, 'success': 83, 'collisions': 9}, {'tx': 90, 'success': 81, 'collisions': 9}]"
154,2,55,180,160,20,0.1111111111111111,0.8888888888888888,0.88,"[{'tx': 85, 'success': 75, 'collisions': 10}, {'tx': 95, 'success': 85, 'collisions': 10}]"
155,2,56,180,152,28,0.15555555555555556,0.8444444444444444,0.8512,"[{'tx': 82, 'success': 68, 'collisions': 14}, {'tx': 98, 'success': 84, 'collisions': 14}]"
156,2,57,172,158,14,0.08139534883720931,0.9186046511627907,0.9006,"[{'tx': 86, 'success': 79, 'collisions': 7}, {'tx': 86, 'success': 79, 'collisions': 7}]"
157,2,58,169,157,12,0.07100591715976332,0.9289940828402367,0.9106,"[{'tx': 90, 'success': 84, 'collisions': 6}, {'tx': 79, 'success': 73, 'collisions': 6}]"
158,2,59,174,142,32,0.1839080459770115,0.8160919540229885,0.8378,"[{'tx': 92, 'success': 76, 'collisions': 16}, {'tx': 82, 'success': 66, 'collisions': 16}]"
159,2,60,162,150,12,0.07407407407407407,0.9259259259259259,0.9,"[{'tx': 80, 'success': 74, 'collisions': 6}, {'tx': 82, 'success': 76, 'collisions': 6}]"
160,2,61,166,136,30,0.18072289156626506,0.8192771084337349,0.8296,"[{'tx': 83, 'success': 68, 'collisions': 15}, {'tx': 83, 'success': 68, 'collisions': 15}]"
161,2,62,164,136,28,0.17073170731707318,0.8292682926829268,0.8432,"[{'tx': 89, 'success': 75, 'collisions': 14}, {'tx': 75, 'success': 61, 'collisions': 14}]"
162,2,63,159,139,20,0.12578616352201258,0.8742138364779874,0.8757,"[{'tx': 78, 'success': 68, 'collisions': 10}, {'tx': 81, 'success': 71, 'collisions': 10}]"
163,2,64,155,141,14,0.09032258064516129,0.9096774193548387,0.9024,"[{'tx': 76, 'success': 69, 'collisions': 7}, {'tx': 79, 'success': 72, 'collisions': 7}]"
164,2,65,156,134,22,0.14102564102564102,0.8589743589743589,0.871,"[{'tx': 82, 'success': 71, 'collisions': 11}, {'tx': 74, 'success': 63, 'collisions': 11}]"
165,2,66,153,131,22,0.1437908496732026,0.8562091503267973,0.8646,"[{'tx': 80, 'success': 69, 'collisions': 11}, {'tx': 73, 'success': 62, 'collisions': 11}]"
166,2,67,155,125,30,0.1935483870967742,0.8064516129032258,0.8375,"[{'tx': 72, 'success': 57, 'collisions': 15}, {'tx': 83, 'success': 68, 'collisions': 15}]"
167,2,68,148,128,20,0.13513513513513514,0.8648648648648649,0.8704,"[{'tx': 85, 'success': 75, 'collisions': 10}, {'tx': 63, 'success': 53, 'collisions': 10}]"
168,2,69,142,134,8,0.056338028169014086,0.9436619718309859,0.9246,"[{'tx': 69, 'success': 65, 'collisions': 4}, {'tx': 73, 'success': 69, 'collisions': 4}]"
169,2,70,142,132,10,0.07042253521126761,0.9295774647887324,0.924,"[{'tx': 66, 'success': 61, 'collisions': 5}, {'tx': 76, 'success': 71, 'collisions': 5}]"
170,2,71,142,126,16,0.11267605633802817,0.8873239436619719,0.8946,"[{'tx': 72, 'success': 64, 'collisions': 8}, {'tx': 70, 'success': 62, 'collisions': 8}]"
171,2,72,143,121,22,0.15384615384615385,0.8461538461538461,0.8712,"[{'tx': 79, 'success': 68, 'collisions': 11}, {'tx': 64, 'success': 53, 'collisions': 11}]"
172,2,73,137,123,14,0.10218978102189781,0.8978102189781022,0.8979,"[{'tx': 76, 'success': 69, 'collisions': 7}, {'tx': 61, 'success': 54, 'collisions': 7}]"
173,2,74,137,117,20,0.145985401459854,0.8540145985401459,0.8658,"[{'tx': 69, 'success': 59, 'collisions': 10}, {'tx': 68, 'success': 58, 'collisions': 10}]"
174,2,75,136,118,18,0.1323529411764706,0.8676470588235294,0.885,"[{'tx': 67, 'success': 58, 'collisions': 9}, {'tx': 69, 'success': 60, 'collisions': 9}]"
175,2,76,132,118,14,0.10606060606060606,0.8939393939393939,0.8968,"[{'tx': 67, 'success': 60, 'collisions': 7}, {'tx': 65, 'success': 58, 'collisions': 7}]"
176,2,77,133,115,18,0.13533834586466165,0.8646616541353384,0.8855,"[{'tx': 71, 'success': 62, 'collisions': 9}, {'tx': 62, 'success': 53, 'collisions': 9}]"
177,2,78,130,116,14,0.1076923076923077,0.8923076923076924,0.9048,"[{'tx': 69, 'success': 62, 'collisions': 7}, {'tx': 61, 'success': 54, 'collisions': 7}]"
178,2,79,129,113,16,0.12403100775193798,0.875968992248062,0.8927,"[{'tx': 60, 'success': 52, 'collisions': 8}, {'tx': 69, 'success': 61, 'collisions': 8}]"
179,2,80,125,115,10,0.08,0.92,0.92,"[{'tx': 60, 'success': 55, 'collisions': 5}, {'tx': 65, 'success': 60, 'collisions': 5}]"
180,2,81,127,111,16,0.12598425196850394,0.8740157480314961,0.8991,"[{'tx': 60, 'success': 52, 'collisions': 8}, {'tx': 67, 'success': 59, 'collisions': 8}]"
181,2,82,127,105,22,0.1732283464566929,0.8267716535433071,0.861,"[{'tx': 60, 'success': 49, 'collisions': 11}, {'tx': 67, 'success': 56, 'collisions': 11}]"
182,2,83,120,112,8,0.06666666666666667,0.9333333333333333,0.9296,"[{'tx': 63, 'success': 59, 'collisions': 4}, {'tx': 57, 'success': 53, 'collisions': 4}]"
183,2,84,117,113,4,0.03418803418803419,0.9658119658119658,0.9492,"[{'tx': 62, 'success': 60, 'collisions': 2}, {'tx': 55, 'success': 53, 'collisions': 2}]"
184,2,85,118,108,10,0.0847457627118644,0.9152542372881356,0.918,"[{'tx': 59, 'success': 54, 'collisions': 5}, {'tx': 59, 'success': 54, 'collisions': 5}]"
185,2,86,120,102,18,0.15,0.85,0.8772,"[{'tx': 60, 'success': 51, 'collisions': 9}, {'tx': 60, 'success': 51, 'collisions': 9}]"
186,2,87,115,107,8,0.06956521739130435,0.9304347826086956,0.9309,"[{'tx': 58, 'success': 54, 'collisions': 4}, {'tx': 57, 'success': 53, 'collisions': 4}]"
187,2,88,117,101,16,0.13675213675213677,0.8632478632478633,0.8888,"[{'tx': 49, 'success': 41, 'collisions': 8}, {'tx': 68, 'success': 60, 'collisions': 8}]"
